['Date|Cape Town Harbour|Durban Harbour|Rand/US Dollar Exchange']
"2019-09-12|R 5,507.00|R 5,457.00|R 14.68 / $ US|"
"2019-09-11|R 5,515.00|R 5,465.00|R 14.62 / $ US|"
"2019-09-10|R 5,544.00|R 5,494.00|R 14.77 / $ US|"
"2019-09-09|R 5,518.00|R 5,468.00|R 14.79 / $ US|"
"2019-09-06|R 5,521.00|R 5,471.00|R 14.79 / $ US|"
"2019-09-05|R 5,549.00|R 5,499.00|R 14.75 / $ US|"
"2019-09-04|R 5,584.00|R 5,534.00|R 15.02 / $ US|"
"2019-09-03|R 5,672.00|R 5,622.00|R 15.26 / $ US|"
"2019-08-30|R 5,757.00|R 5,707.00|R 15.34 / $ US|"
"2019-08-29|R 5,818.00|R 5,768.00|R 15.41 / $ US|"
"2019-08-28|R 5,738.00|R 5,688.00|R 15.33 / $ US|"
"2019-08-27|R 5,720.00|R 5,670.00|R 15.31 / $ US|"
"2019-08-26|R 5,741.00|R 5,691.00|R 15.34 / $ US|"
"2019-08-23|R 5,738.00|R 5,688.00|R 15.19 / $ US|"
"2019-08-22|R 5,772.00|R 5,722.00|R 15.24 / $ US|"
"2019-08-21|R 5,809.00|R 5,759.00|R 15.35 / $ US|"
"2019-08-20|R 5,807.00|R 5,757.00|R 15.43 / $ US|"
"2019-08-19|R 5,735.00|R 5,685.00|R 15.24 / $ US|"
"2019-08-16|R 5,729.00|R 5,679.00|R 15.23 / $ US|"
"2019-08-15|R 5,806.00|R 5,756.00|R 15.30 / $ US|"
"2019-08-14|R 5,807.00|R 5,757.00|R 15.13 / $ US|"
"2019-08-13|R 5,717.00|R 5,667.00|R 15.26 / $ US|"
"2019-08-12|R 5,811.00|R 5,761.00|R 15.22 / $ US|"
"2019-08-08|R 5,643.00|R 5,593.00|R 15.05 / $ US|"
"2019-08-07|R 5,601.00|R 5,551.00|R 14.93 / $ US|"
"2019-08-06|R 5,606.00|R 5,556.00|R 14.83 / $ US|"
"2019-08-05|R 5,579.00|R 5,529.00|R 14.88 / $ US|"
"2019-08-02|R 5,532.00|R 5,482.00|R 14.61 / $ US|"
"2019-08-01|R 5,525.00|R 5,475.00|R 14.41 / $ US|"
"2019-07-31|R 5,504.00|R 5,454.00|R 14.19 / $ US|"
"2019-07-30|R 5,533.00|R 5,483.00|R 14.18 / $ US|"
"2019-07-29|R 5,585.00|R 5,535.00|R 14.24 / $ US|"
"2019-07-26|R 5,511.00|R 5,461.00|R 14.09 / $ US|"
"2019-07-25|R 5,466.00|R 5,416.00|R 13.88 / $ US|"
"2019-07-24|R 5,506.00|R 5,456.00|R 13.94 / $ US|"
"2019-07-23|R 5,521.00|R 5,471.00|R 13.91 / $ US|"
"2019-07-22|R 5,498.00|R 5,448.00|R 13.86 / $ US|"
"2019-07-19|R 5,498.00|R 5,448.00|R 13.86 / $ US|"
"2019-07-18|R 5,531.00|R 5,481.00|R 13.99 / $ US|"
"2019-07-17|R 5,537.00|R 5,487.00|R 13.98 / $ US|"
"2019-07-16|R 5,533.00|R 5,483.00|R 13.86 / $ US|"
"2019-07-15|R 5,647.00|R 5,597.00|R 13.90 / $ US|"
"2019-07-12|R 5,572.00|R 5,522.00|R 13.90 / $ US|"
"2019-07-11|R 5,550.00|R 5,500.00|R 13.93 / $ US|"
"2019-07-10|R 5,618.00|R 5,568.00|R 14.22 / $ US|"
"2019-07-09|R 5,571.00|R 5,521.00|R 14.18 / $ US|"
"2019-07-08|R 5,654.00|R 5,604.00|R 14.13 / $ US|"
"2019-07-05|R 5,538.00|R 5,488.00|R 14.07 / $ US|"
"2019-07-04|R 5,519.00|R 5,469.00|R 14.02 / $ US|"
"2019-07-03|R 5,518.00|R 5,468.00|R 14.12 / $ US|"
"2019-07-02|R 5,744.00|R 5,694.00|R 14.19 / $ US|"
"2019-07-01|R 5,676.00|R 5,626.00|R 14.06 / $ US|"
"2019-06-28|R 5,654.00|R 5,604.00|R 14.17 / $ US|"
"2019-06-27|R 5,732.00|R 5,682.00|R 14.25 / $ US|"
"2019-06-26|R 5,772.00|R 5,722.00|R 14.33 / $ US|"
"2019-06-25|R 5,859.00|R 5,809.00|R 14.35 / $ US|"
"2019-06-24|R 5,827.00|R 5,777.00|R 14.30 / $ US|"
"2019-06-21|R 5,922.00|R 5,872.00|R 14.39 / $ US|"
"2019-06-20|R 5,772.00|R 5,722.00|R 14.30 / $ US|"
"2019-06-19|R 6,103.00|R 6,053.00|R 14.52 / $ US|"
"2019-06-18|R 6,072.00|R 6,022.00|R 14.78 / $ US|"
"2019-06-17|R 6,168.00|R 6,118.00|R 14.81 / $ US|"
"2019-06-14|R 6,113.00|R 6,063.00|R 14.87 / $ US|"
"2019-06-13|R 6,115.00|R 6,065.00|R 14.90 / $ US|"
"2019-06-12|R 5,865.00|R 5,815.00|R 14.66 / $ US|"
"2019-06-11|R 5,898.00|R 5,848.00|R 14.78 / $ US|"
"2019-06-10|R 5,932.00|R 5,882.00|R 14.96 / $ US|"
"2019-06-07|R 6,061.00|R 6,011.00|R 15.09 / $ US|"
"2019-06-06|R 5,985.00|R 5,935.00|R 14.86 / $ US|"
"2019-06-05|R 5,983.00|R 5,933.00|R 14.66 / $ US|"
"2019-06-04|R 5,982.00|R 5,932.00|R 14.42 / $ US|"
"2019-06-03|R 6,119.00|R 6,069.00|R 14.79 / $ US|"
"2019-05-31|R 6,136.00|R 6,086.00|R 14.79 / $ US|"
"2019-05-30|R 5,933.00|R 5,883.00|R 14.66 / $ US|"
"2019-05-29|R 6,094.00|R 6,044.00|R 14.73 / $ US|"
"2019-05-28|R 5,647.00|R 5,597.00|R 14.44 / $ US|"
"2019-05-24|R 5,535.00|R 5,485.00|R 14.47 / $ US|"
"2019-05-23|R 5,508.00|R 5,458.00|R 14.40 / $ US|"
"2019-05-22|R 5,495.00|R 5,445.00|R 14.41 / $ US|"
"2019-05-21|R 5,537.00|R 5,487.00|R 14.44 / $ US|"
"2019-05-20|R 5,510.00|R 5,460.00|R 14.41 / $ US|"
"2019-05-17|R 5,567.00|R 5,517.00|R 14.34 / $ US|"
"2019-05-16|R 5,511.00|R 5,461.00|R 14.25 / $ US|"
"2019-05-15|R 5,477.00|R 5,427.00|R 14.24 / $ US|"
"2019-05-14|R 5,356.00|R 5,306.00|R 14.29 / $ US|"
"2019-05-13|R 5,274.00|R 5,224.00|R 14.28 / $ US|"
"2019-05-10|R 5,328.00|R 5,278.00|R 14.21 / $ US|"
"2019-05-09|R 5,364.00|R 5,314.00|R 14.41 / $ US|"
"2019-05-08|R 5,433.00|R 5,383.00|R 14.35 / $ US|"
"2019-05-07|R 5,435.00|R 5,385.00|R 14.46 / $ US|"
"2019-05-06|R 5,496.00|R 5,446.00|R 14.46 / $ US|"
"2019-05-03|R 5,475.00|R 5,425.00|R 14.53 / $ US|"
"2019-05-02|R 5,500.00|R 5,450.00|R 14.43 / $ US|"
"2019-05-01|R 5,515.00|R 5,465.00|R 14.28 / $ US|"
"2019-04-30|R 5,499.00|R 5,449.00|R 14.37 / $ US|"
"2019-04-29|R 5,572.00|R 5,522.00|R 14.36 / $ US|"
"2019-04-26|R 5,613.00|R 5,563.00|R 14.39 / $ US|"
"2019-04-25|R 5,565.00|R 5,515.00|R 14.41 / $ US|"
"2019-04-24|R 5,567.00|R 5,517.00|R 14.36 / $ US|"
"2019-04-23|R 5,522.00|R 5,472.00|R 14.17 / $ US|"
"2019-04-22|R 5,506.00|R 5,456.00|R 14.10 / $ US|"
"2019-04-19|R 5,481.00|R 5,431.00|R 14.05 / $ US|"
"2019-04-18|R 5,496.00|R 5,446.00|R 14.04 / $ US|"
"2019-04-17|R 5,509.00|R 5,459.00|R 13.96 / $ US|"
"2019-04-16|R 5,607.00|R 5,557.00|R 14.05 / $ US|"
"2019-04-15|R 5,551.00|R 5,501.00|R 13.95 / $ US|"
"2019-04-12|R 5,527.00|R 5,477.00|R 13.98 / $ US|"
"2019-04-11|R 5,549.00|R 5,499.00|R 13.91 / $ US|"
"2019-04-10|R 5,588.00|R 5,538.00|R 14.05 / $ US|"
"2019-04-09|R 5,600.00|R 5,550.00|R 14.12 / $ US|"
"2019-04-08|R 5,626.00|R 5,576.00|R 14.15 / $ US|"
"2019-04-05|R 5,635.00|R 5,585.00|R 14.13 / $ US|"
"2019-04-04|R 5,666.00|R 5,616.00|R 14.19 / $ US|"
"2019-04-03|R 5,659.00|R 5,609.00|R 14.17 / $ US|"
"2019-04-02|R 5,664.00|R 5,614.00|R 14.21 / $ US|"
"2019-04-01|R 5,639.00|R 5,589.00|R 14.32 / $ US|"
"2019-03-29|R 5,740.00|R 5,690.00|R 14.59 / $ US|"
"2019-03-28|R 5,718.00|R 5,668.00|R 14.63 / $ US|"
"2019-03-27|R 5,750.00|R 5,700.00|R 14.46 / $ US|"
"2019-03-26|R 5,784.00|R 5,734.00|R 14.34 / $ US|"
"2019-03-25|R 5,849.00|R 5,799.00|R 14.46 / $ US|"
"2019-03-22|R 5,879.00|R 5,829.00|R 14.22 / $ US|"
"2019-03-21|R 5,805.00|R 5,755.00|R 14.20 / $ US|"
"2019-03-20|R 5,893.00|R 5,843.00|R 14.50 / $ US|"
"2019-03-19|R 5,861.00|R 5,811.00|R 14.42 / $ US|"
"2019-03-18|R 5,761.00|R 5,711.00|R 14.45 / $ US|"
"2019-03-15|R 5,838.00|R 5,788.00|R 14.48 / $ US|"
"2019-03-14|R 5,814.00|R 5,764.00|R 14.46 / $ US|"
"2019-03-13|R 5,737.00|R 5,687.00|R 14.38 / $ US|"
"2019-03-12|R 5,651.00|R 5,601.00|R 14.28 / $ US|"
"2019-03-11|R 5,735.00|R 5,685.00|R 14.38 / $ US|"
"2019-03-08|R 5,836.00|R 5,786.00|R 14.52 / $ US|"
"2019-03-07|R 5,667.00|R 5,617.00|R 14.26 / $ US|"
"2019-03-06|R 5,804.00|R 5,754.00|R 14.22 / $ US|"
"2019-03-05|R 5,719.00|R 5,669.00|R 14.20 / $ US|"
"2019-03-04|R 5,776.00|R 5,726.00|R 14.28 / $ US|"
"2019-03-01|R 5,603.00|R 5,553.00|R 14.07 / $ US|"
"2019-02-28|R 5,608.00|R 5,558.00|R 13.96 / $ US|"
"2019-02-27|R 5,527.00|R 5,477.00|R 13.82 / $ US|"
"2019-02-26|R 5,570.00|R 5,520.00|R 13.86 / $ US|"
"2019-02-25|R 5,600.00|R 5,550.00|R 13.88 / $ US|"
"2019-02-22|R 5,901.00|R 5,851.00|R 13.97 / $ US|"
"2019-02-21|R 5,837.00|R 5,787.00|R 14.04 / $ US|"
"2019-02-20|R 5,838.00|R 5,788.00|R 14.05 / $ US|"
"2019-02-19|R 5,902.00|R 5,852.00|R 14.16 / $ US|"
"2019-02-15|R 5,900.00|R 5,850.00|R 14.16 / $ US|"
"2019-02-14|R 5,911.00|R 5,861.00|R 14.04 / $ US|"
"2019-02-13|R 5,789.00|R 5,739.00|R 13.73 / $ US|"
"2019-02-12|R 5,753.00|R 5,703.00|R 13.80 / $ US|"
"2019-02-11|R 5,712.00|R 5,662.00|R 13.62 / $ US|"
"2019-02-08|R 5,717.00|R 5,667.00|R 13.67 / $ US|"
"2019-02-07|R 5,713.00|R 5,663.00|R 13.57 / $ US|"
"2019-02-06|R 5,660.00|R 5,610.00|R 13.42 / $ US|"
"2019-02-05|R 5,666.00|R 5,616.00|R 13.40 / $ US|"
"2019-02-04|R 5,687.00|R 5,637.00|R 13.38 / $ US|"
"2019-02-01|R 5,656.00|R 5,606.00|R 13.31 / $ US|"
"2019-01-31|R 5,673.00|R 5,623.00|R 13.35 / $ US|"
"2019-01-30|R 5,771.00|R 5,721.00|R 13.60 / $ US|"
"2019-01-29|R 5,796.00|R 5,746.00|R 13.66 / $ US|"
"2019-01-28|R 5,812.00|R 5,762.00|R 13.62 / $ US|"
"2019-01-25|R 5,800.00|R 5,750.00|R 13.67 / $ US|"
"2019-01-24|R 5,895.00|R 5,845.00|R 13.82 / $ US|"
"2019-01-23|R 5,925.00|R 5,875.00|R 13.94 / $ US|"
"2019-01-22|R 5,916.00|R 5,866.00|R 13.88 / $ US|"
"2019-01-18|R 5,837.00|R 5,787.00|R 13.72 / $ US|"
"2019-01-17|R 5,802.00|R 5,752.00|R 13.74 / $ US|"
"2019-01-16|R 5,783.00|R 5,733.00|R 13.68 / $ US|"
"2019-01-15|R 5,868.00|R 5,818.00|R 13.81 / $ US|"
"2019-01-14|R 5,932.00|R 5,882.00|R 13.95 / $ US|"
"2019-01-11|R 5,950.00|R 5,900.00|R 13.83 / $ US|"
"2019-01-10|R 6,069.00|R 6,019.00|R 13.88 / $ US|"
"2019-01-09|R 6,060.00|R 6,010.00|R 13.92 / $ US|"
"2019-01-08|R 6,075.00|R 6,025.00|R 13.95 / $ US|"
"2019-01-07|R 5,987.00|R 5,937.00|R 13.97 / $ US|"
"2018-12-14|R 5,956.00|R 5,906.00|R 14.24 / $ US|"
"2018-12-13|R 5,971.00|R 5,921.00|R 14.08 / $ US|"
"2018-12-12|R 6,047.00|R 5,997.00|R 14.28 / $ US|"
"2018-12-11|R 6,026.00|R 5,976.00|R 14.35 / $ US|"
"2018-12-10|R 5,961.00|R 5,911.00|R 14.13 / $ US|"
"2018-12-07|R 5,916.00|R 5,866.00|R 14.04 / $ US|"
"2018-12-06|R 5,927.00|R 5,877.00|R 13.92 / $ US|"
"2018-12-05|R 5,887.00|R 5,837.00|R 13.86 / $ US|"
"2018-12-04|R 5,709.00|R 5,659.00|R 13.63 / $ US|"
"2018-12-03|R 5,869.00|R 5,819.00|R 13.66 / $ US|"
"2018-11-30|R 5,737.00|R 5,687.00|R 13.70 / $ US|"
"2018-11-29|R 5,762.00|R 5,712.00|R 13.74 / $ US|"
"2018-11-28|R 5,781.00|R 5,731.00|R 13.90 / $ US|"
"2018-11-27|R 5,728.00|R 5,678.00|R 13.88 / $ US|"
"2018-11-26|R 5,740.00|R 5,690.00|R 13.79 / $ US|"
"2018-11-21|R 5,891.00|R 5,841.00|R 14.09 / $ US|"
